LMP,Stress,T2,dT,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA
23227.92363,100,750,450,0.90506338,0,0,0.0363,0,0,0.00935,0.00813,0,0
22255.47985,100,750,450,0.90027378,0,0,0.0505,0,0,0.0024,0.000191,0,0
22324.07795,100,750,450,0.90027378,0,0,0.0505,0,0,0.0024,0.000191,0,0
21799.75166,100,750,450,0.90027378,0,0,0.0505,0,0,0.0024,0.000191,0,0
23449.2044,100,750,450,0.90509792,0,0,0.0496,0,0,0.00167,0.00188,0,0
22713.42418,100,750,450,0.98225166,0,0,0,0,0,0.00177,0.00381,0,0
22094.44218,100,750,450,0.97185397,0,0,0.0028,0,0,0.000232,0.000187,0,0
22684.95502,100,750,450,0.92472774,0,0,0,0,0.000256,0,0.0000131,0,0
22871.58238,100,750,450,0.86968678,0.0516,0.000138,0,0,0.00448,0,0.000172,0,0
22605.84923,100,750,450,0.92146724,0,0,0,0,0.000104,0,0.0000243,0,0
23538.84212,100,750,450,0.92980494,0,0,0,0,0.000128,0,0,0,0
23238.12953,100,750,450,0.99464155,0,0,0,0,0,0.00153,0.00383,0,0
23419.06822,100,750,450,0.94755867,0,0,0.0416,0,0,0.00128,0.00816,0.00136,0
24345.5249,100,750,500,0.92219056,0,0,0.0232,0.000265,0,0.000815,0.00754,0.046,0
23703.92758,100,750,500,0.96495236,0,0,0.0248,0,0,0.000818,0.00938,0,0
23713.29811,100,750,500,0.91093585,0,0,0.0247,0,0,0.000814,0.0093,0.0542,0
23636.41393,100,750,500,0.90885072,0,0,0.0235,0,0,0.000818,0.00935,0.0575,0
23170.36916,100,750,450,0.99552548,0,0,0,0,0,0.000581,0.00389,0,0
22901.57086,100,750,450,0.8805237,0,0,0,0.00415,0.000104,0,0,0.11440638,0
23327.93663,100,750,500,0.94657086,0,0.0236,0.00886,0,0,0.00141,0.0192,0,0
23158.25435,100,750,450,0.9482811,0,0,0.00487,0,0,0.00116,0.00937,0.0363,0
22994.24311,100,750,450,0.9482811,0,0,0.00487,0,0,0.00116,0.00937,0.0363,0
23136.00932,100,750,450,0.95619,0,0,0,0,0.00144,0,0.00936,0.033,0
22962.17147,100,750,450,0.95619,0,0,0,0,0.00144,0,0.00936,0.033,0
22978.72664,100,750,450,0.934385,0,0.0177,0.00884,0,0,0.00115,0.00946,0.0284,0
22857.91105,100,750,450,0.934385,0,0.0177,0.00884,0,0,0.00115,0.00946,0.0284,0
23195.53678,100,750,450,0.97941366,0,0,0.00439,0,0,0.00116,0.0094,0.00564,0
22747.20383,100,750,450,0.97941366,0,0,0.00439,0,0,0.00116,0.0094,0.00564,0
22766.64985,100,750,450,0.91426749,0,0.0763,0,0,0.000862,0,0.00856,0,0
22565.38129,100,750,450,0.93002026,0,0.0353,0,0,0.000425,0,0.0181,0.0162,0
22730.90285,100,750,450,0.93498866,0,0.0365,0,0,0,0.000342,0.0181,0.0101,0
23012.65788,100,750,450,0.94302063,0.0482,0,0,0.000485,0.00086,0,0.0074,0,0
23436.25691,100,750,450,0.92281479,0,0.00396,0.0596,0,0,0.000696,0.00903,0.00389,0
