id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C,T1_NP_FCC,T1_NP_L12,T1_NP_M23C6,T1_NP_M2B_CB,T1_NP_M3B2_D5A,T1_NP_NbC,T1_NP_NIAL_B2,T1_VPV_FCC,T1_VPV_FECR_B2,T1_VPV_L12,T1_VPV_LAVES_C14,T1_VPV_M23C6,T1_VPV_M2B_CB,T1_VPV_M3B2_D5A,T1_VPV_NbC,T1_VPV_NIAL_B2,T1_VPV_SIGMA,T2_NP_FCC,T2_NP_FECR_B2,T2_NP_L12,T2_NP_LAVES_C14,T2_NP_M23C6,T2_NP_M2B_CB,T2_NP_M3B2_D5A,T2_NP_NbC,T2_NP_NIAL_B2,T2_NP_SIGMA,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA,dFCC,dFECR_B2,dL12,dLAVES_C14,dM23C6,dM2B_CB,dM3B2_D5A,dNbC,dNIAL_B2,dSIGMA
1,FNC18,23227.92363,507.8,100,1200,750,450,4.74E-02,4.01E-03,3.79E-03,0.14953635,1.60E-12,0.55520773,1.42E-12,1.79E-02,1.98E-02,0.20217747,1.98E-04,7.60E-12,1.54E-12,3.23E-12,5.81E-12,4.23E-12,5.224,0.91147945,0,0,0,0,7.10E-03,0,0.90785796,0,0,0,0,0,0,6.83E-03,0,0,0.90631414,0,0,3.29E-02,0,0,1.00E-02,8.23E-03,0,0,0.90506338,0,0,3.63E-02,0,0,9.35E-03,8.13E-03,0,0,-0.00279458,0,0,0.036311,0,0,0.00935345,0.00130381,0,0
2,FNC19,22255.47985,56.9,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368,0.94814313,0,0,0,0,0,0,0.94474589,0,0,0,0,0,0,0,0,0,0.9029495,0,0,4.60E-02,0,0,2.57E-03,1.93E-04,0,0,0.90027378,0,0,5.05E-02,0,0,2.40E-03,1.91E-04,0,0,-0.0444721,0,0,0.0505034,0,0,0.00239687,0.000190656,0,0
3,FNC19,22324.07795,66.4,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368,0.94814313,0,0,0,0,0,0,0.94474589,0,0,0,0,0,0,0,0,0,0.9029495,0,0,4.60E-02,0,0,2.57E-03,1.93E-04,0,0,0.90027378,0,0,5.05E-02,0,0,2.40E-03,1.91E-04,0,0,-0.0444721,0,0,0.0505034,0,0,0.00239687,0.000190656,0,0
4,FNC19,21799.75166,20.4,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368,0.94814313,0,0,0,0,0,0,0.94474589,0,0,0,0,0,0,0,0,0,0.9029495,0,0,4.60E-02,0,0,2.57E-03,1.93E-04,0,0,0.90027378,0,0,5.05E-02,0,0,2.40E-03,1.91E-04,0,0,-0.0444721,0,0,0.0505034,0,0,0.00239687,0.000190656,0,0
5,FNC31,23449.2044,835.6,100,1200,750,450,4.84E-02,7.22E-04,8.82E-04,0.15043371,1.52E-12,0.56031134,1.01E-04,1.80E-02,1.81E-02,0.20110098,2.78E-12,4.66E-12,2.08E-03,3.89E-12,7.71E-12,2.64E-12,20.522,0.96103254,0,0,0,0,1.24E-03,0,0.9585785,0,0,0,0,0,0,1.20E-03,0,0,0.90784965,0,0,4.52E-02,0,0,1.80E-03,1.91E-03,0,0,0.90509792,0,0,4.96E-02,0,0,1.67E-03,1.88E-03,0,0,-0.0534806,0,0,0.0495653,0,0,0.00167454,0.000679523,0,0
6,FNC21,22713.42418,159.5,100,1200,750,450,5.10E-02,7.61E-04,1.78E-03,0.15089553,1.17E-12,0.58106646,1.14E-12,8.52E-03,6.61E-03,0.19917268,1.95E-04,6.33E-12,1.09E-12,1.11E-12,1.12E-12,3.14E-12,3.713,0.9962696,0,0,0,0,2.27E-03,0,0.99629504,0,0,0,0,0,0,2.17E-03,0,0,0.98171721,0,0,0,0,0,1.89E-03,3.85E-03,0,0,0.98225166,0,0,0,0,0,1.77E-03,3.81E-03,0,0,-0.0140434,0,0,0,0,0,0.00177304,0.00163512,0,0
7,FNC22,22094.44218,39.6,100,1200,750,450,5.10E-02,1.02E-04,9.16E-05,0.15086589,1.08E-12,0.58151181,1.13E-12,8.77E-03,8.23E-03,0.19945686,1.16E-12,1.84E-12,1.11E-12,1.31E-12,2.18E-12,1.40E-12,89.847,0.99998631,0,0,0,0,0,0,0.99998565,0,0,0,0,0,0,0,0,0,0.97131217,0,0,2.54E-03,0,0,2.48E-04,1.89E-04,0,0,0.97185397,0,0,2.80E-03,0,0,2.32E-04,1.87E-04,0,0,-0.0281317,0,0,0.00279945,0,0,0.000231772,0.00018723,0,0
8,FNC15,21918.75647,336.5,170,1200,700,500,9.66E-13,1.05E-04,4.72E-05,0.20052911,9.57E-13,0.47884186,1.04E-12,9.57E-13,1.92E-02,0.30127449,9.58E-13,2.17E-12,9.57E-13,9.57E-13,9.57E-13,1.24E-12,406.78,0.97160778,0,0,0,0,0,0,0.96916113,0,0,0,0,0,0,0,0,0,0.92285158,0,0,0,0,2.81E-04,0,2.99E-05,0,8.26E-04,0.92305795,0,0,0,0,2.81E-04,0,2.98E-05,0,8.32E-04,-0.0461032,0,0,0,0,0.000280646,0,2.98E-05,0,0.000832394
9,FNC15,22684.95502,149.6,100,1200,750,450,9.61E-13,1.05E-04,4.72E-05,0.20052911,9.58E-13,0.47884186,1.02E-12,9.58E-13,1.92E-02,0.30127449,9.58E-13,1.20E-12,9.58E-13,9.58E-13,9.58E-13,9.89E-13,406.78,0.97160778,0,0,0,0,0,0,0.96916113,0,0,0,0,0,0,0,0,0,0.92444208,0,0,0,0,2.57E-04,0,1.32E-05,0,0,0.92472774,0,0,0,0,2.56E-04,0,1.31E-05,0,0,-0.0444334,0,0,0,0,0.000255679,0,1.31E-05,0,0
10,FNC16,22871.58238,227.7,100,1200,750,450,4.91E-02,1.53E-03,9.19E-05,0.20078221,1.17E-12,0.42839405,1.09E-12,1.17E-12,2.00E-02,0.30010471,1.18E-12,2.05E-12,1.18E-12,1.18E-12,1.22E-12,1.46E-12,217.628,0.91365331,0,0,0,0,0,0,0.90801261,0,0,0,0,0,0,0,0,0,0.86853188,5.10E-02,1.33E-04,0,0,4.58E-03,0,1.74E-04,0,0,0.86968678,5.16E-02,1.38E-04,0,0,4.48E-03,0,1.72E-04,0,0,-0.0383258,0.0515672,0.000138233,0,0,0.00447906,0,0.000172161,0,0
