LMP,Stress,T2,dT,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA
23227.92363,100,750,450,0.90506338,0,0,3.63E-02,0,0,9.35E-03,8.13E-03,0,0
22255.47985,100,750,450,0.90027378,0,0,5.05E-02,0,0,2.40E-03,1.91E-04,0,0
22324.07795,100,750,450,0.90027378,0,0,5.05E-02,0,0,2.40E-03,1.91E-04,0,0
21799.75166,100,750,450,0.90027378,0,0,5.05E-02,0,0,2.40E-03,1.91E-04,0,0
23449.2044,100,750,450,0.90509792,0,0,4.96E-02,0,0,1.67E-03,1.88E-03,0,0
22713.42418,100,750,450,0.98225166,0,0,0,0,0,1.77E-03,3.81E-03,0,0
22094.44218,100,750,450,0.97185397,0,0,2.80E-03,0,0,2.32E-04,1.87E-04,0,0
21918.75647,170,700,500,0.92305795,0,0,0,0,2.81E-04,0,2.98E-05,0,8.32E-04
22684.95502,100,750,450,0.92472774,0,0,0,0,2.56E-04,0,1.31E-05,0,0
22871.58238,100,750,450,0.86968678,5.16E-02,1.38E-04,0,0,4.48E-03,0,1.72E-04,0,0
21667.32637,170,700,500,0.91358391,0,0,0,0,1.27E-04,0,4.04E-05,0,7.10E-03
22605.84923,100,750,450,0.92146724,0,0,0,0,1.04E-04,0,2.43E-05,0,0
23538.84212,100,750,450,0.92980494,0,0,0,0,1.28E-04,0,0,0,0
23238.12953,100,750,450,0.99464155,0,0,0,0,0,1.53E-03,3.83E-03,0,0
23419.06822,100,750,450,0.94755867,0,0,4.16E-02,0,0,1.28E-03,8.16E-03,1.36E-03,0
24345.5249,100,750,500,0.92219056,0,0,2.32E-02,2.65E-04,0,8.15E-04,7.54E-03,4.60E-02,0
22998.22246,170,750,400,0.92219056,0,0,2.32E-02,2.65E-04,0,8.15E-04,7.54E-03,4.60E-02,0
21312.47097,250,650,600,0.88913159,2.63E-02,0,4.17E-02,0,1.03E-03,0,9.50E-03,3.23E-02,0
